Frequency (Hz)	Level (dB)
5.383301	-156.665314
10.766602	-157.377182
16.149902	-158.042709
21.533203	-157.493057
26.916504	-158.418839
32.299805	-157.784821
37.683105	-158.601486
43.066406	-158.089127
48.449707	-157.242065
53.833008	-159.196045
59.216309	-157.528091
64.599609	-158.211548
69.982910	-158.852402
75.366211	-156.055664
80.749512	-157.448547
86.132812	-157.963638
91.516113	-157.389267
96.899414	-157.114990
102.282715	-156.881210
107.666016	-154.660141
113.049316	-153.698181
118.432617	-156.764328
123.815918	-157.469162
129.199219	-157.454285
134.582520	-157.420380
139.965820	-157.957794
145.349121	-157.816360
150.732422	-157.146957
156.115723	-157.521210
161.499023	-157.374710
166.882324	-157.079269
172.265625	-157.570923
177.648926	-156.657196
183.032227	-157.357712
188.415527	-157.418686
193.798828	-157.450256
199.182129	-156.797043
204.565430	-156.701202
209.948730	-156.832870
215.332031	-157.252747
220.715332	-157.073730
226.098633	-156.166351
231.481934	-157.375107
236.865234	-156.909546
242.248535	-156.482590
247.631836	-155.955704
253.015137	-155.947952
258.398438	-156.397552
263.781738	-155.266647
269.165039	-153.878159
274.548340	-156.603195
279.931641	-155.779297
285.314941	-156.532211
290.698242	-155.904114
296.081543	-155.888458
301.464844	-156.357437
306.848145	-155.345322
312.231445	-155.353317
317.614746	-156.329880
322.998047	-154.593674
328.381348	-155.143509
333.764648	-155.851791
339.147949	-154.657944
344.531250	-155.086319
349.914551	-155.441010
355.297852	-154.624039
360.681152	-154.649139
366.064453	-155.295288
371.447754	-154.244522
376.831055	-155.169540
382.214355	-154.548737
387.597656	-154.556595
392.980957	-154.212540
398.364258	-154.070450
403.747559	-154.397369
409.130859	-154.032684
414.514160	-153.334000
419.897461	-149.902878
425.280762	-151.978821
430.664062	-153.563309
436.047363	-153.143509
441.430664	-153.465210
446.813965	-153.232941
452.197266	-152.880325
457.580566	-153.175201
462.963867	-153.357056
468.347168	-152.919693
473.730469	-152.748810
479.113770	-152.985443
484.497070	-152.736893
489.880371	-152.629456
495.263672	-152.527527
500.646973	-152.406174
506.030273	-152.162155
511.413574	-152.254257
516.796875	-152.013214
522.180176	-151.911652
527.563477	-151.509506
532.946777	-151.965714
538.330078	-151.689011
543.713379	-151.369812
549.096680	-151.673050
554.479980	-151.099106
559.863281	-150.889313
565.246582	-151.180359
570.629883	-150.819885
576.013184	-150.653473
581.396484	-150.731094
586.779785	-150.676880
592.163086	-150.832230
597.546387	-149.876999
602.929688	-150.274521
608.312988	-150.005615
613.696289	-149.998840
619.079590	-149.834396
624.462891	-149.878937
629.846191	-149.364273
635.229492	-149.917633
640.612793	-149.527985
645.996094	-149.014206
651.379395	-149.272980
656.762695	-148.972870
662.145996	-149.026001
667.529297	-148.675995
672.912598	-148.587265
678.295898	-148.414139
683.679199	-148.504944
