Frequency (Hz)	Level (dB)
5.383301	-158.134689
10.766602	-157.234848
16.149902	-158.974792
21.533203	-158.374741
26.916504	-158.468933
32.299805	-157.597626
37.683105	-158.929672
43.066406	-158.079605
48.449707	-157.403900
53.833008	-158.742157
59.216309	-158.683105
64.599609	-158.128159
69.982910	-158.586472
75.366211	-157.067139
80.749512	-156.633545
86.132812	-157.993896
91.516113	-157.560608
96.899414	-158.038605
102.282715	-157.779160
107.666016	-157.109299
113.049316	-154.497589
118.432617	-156.913300
123.815918	-158.148544
129.199219	-157.977570
134.582520	-157.267441
139.965820	-158.198959
145.349121	-157.600006
150.732422	-157.474380
156.115723	-157.454529
161.499023	-158.011749
166.882324	-157.448227
172.265625	-157.731735
177.648926	-157.123901
183.032227	-157.233902
188.415527	-157.908524
193.798828	-157.482727
199.182129	-156.857437
204.565430	-156.826202
209.948730	-156.636765
215.332031	-157.749451
220.715332	-157.060211
226.098633	-156.359970
231.481934	-157.035645
236.865234	-157.008331
242.248535	-156.461792
247.631836	-156.429062
253.015137	-156.057968
258.398438	-156.471420
263.781738	-154.766876
269.165039	-153.851685
274.548340	-156.349686
279.931641	-156.006882
285.314941	-156.531250
290.698242	-156.069107
296.081543	-156.056610
301.464844	-156.167618
306.848145	-155.696472
312.231445	-155.328323
317.614746	-156.562805
322.998047	-155.291916
328.381348	-155.249908
333.764648	-156.381271
339.147949	-154.728607
344.531250	-155.194504
349.914551	-155.268005
355.297852	-154.941467
360.681152	-154.937744
366.064453	-155.277863
371.447754	-154.044678
376.831055	-155.358826
382.214355	-154.620316
387.597656	-154.169418
392.980957	-154.318863
398.364258	-154.381500
403.747559	-154.150925
409.130859	-153.871323
414.514160	-152.700348
419.897461	-148.878265
425.280762	-148.467178
430.664062	-144.100769
436.047363	-135.375916
441.430664	-119.771767
446.813965	-103.727318
452.197266	-102.662811
457.580566	-114.840599
462.963867	-133.264664
468.347168	-142.797302
473.730469	-148.285110
479.113770	-151.164902
484.497070	-152.215118
489.880371	-152.356461
495.263672	-152.363098
500.646973	-152.458359
506.030273	-152.002960
511.413574	-152.371277
516.796875	-152.008453
522.180176	-151.969589
527.563477	-151.726730
532.946777	-152.054153
538.330078	-151.796066
543.713379	-151.413940
549.096680	-151.591232
554.479980	-151.252731
559.863281	-151.192276
565.246582	-151.219070
570.629883	-150.949753
576.013184	-151.009293
581.396484	-150.785797
586.779785	-150.594208
592.163086	-150.769806
597.546387	-150.051544
602.929688	-150.354980
608.312988	-150.228088
613.696289	-149.688248
619.079590	-150.061966
624.462891	-149.950012
629.846191	-149.610107
635.229492	-149.900909
640.612793	-149.565170
645.996094	-149.042450
651.379395	-149.468597
656.762695	-148.970947
662.145996	-149.113190
667.529297	-148.854980
672.912598	-148.469574
678.295898	-148.751190
683.679199	-148.264435
689.062500	-148.260574
694.445801	-148.253220
699.829102	-148.161957
705.212402	-147.628128
710.595703	-147.990891
715.979004	-147.606857
721.362305	-147.606857
726.745605	-147.317703
732.128906	-147.425751
737.512207	-147.199020
742.895508	-147.052612
748.278809	-146.853912
753.662109	-146.882294
759.045410	-146.514816
764.428711	-146.190598
769.812012	-146.590302
775.195312	-146.156418
780.578613	-146.151291
785.961914	-145.995972
791.345215	-145.534882
796.728516	-145.511139
802.111816	-145.331055
807.495117	-145.118683
812.878418	-144.867157
818.261719	-144.750610
823.645020	-144.271729
829.028320	-144.010529
834.411621	-143.509964
839.794922	-142.670822
845.178223	-141.662094
850.561523	-140.256241
855.944824	-138.029587
861.328125	-135.316727
866.711426	-131.676514
872.094727	-127.190483
