Frequency (Hz)	Level (dB)
5.383301	-153.340897
10.766602	-156.995682
16.149902	-158.032333
21.533203	-157.614166
26.916504	-158.191116
32.299805	-157.910522
37.683105	-158.261185
43.066406	-157.721390
48.449707	-157.453094
53.833008	-157.979156
59.216309	-158.229309
64.599609	-158.094437
69.982910	-158.606171
75.366211	-155.700317
80.749512	-158.075058
86.132812	-157.856781
91.516113	-157.698471
96.899414	-157.256531
102.282715	-157.647079
107.666016	-157.448380
113.049316	-154.239349
118.432617	-156.525681
123.815918	-157.579132
129.199219	-157.648590
134.582520	-157.275482
139.965820	-157.921432
145.349121	-157.841370
150.732422	-157.064697
156.115723	-157.453568
161.499023	-157.622116
166.882324	-156.813293
172.265625	-157.584045
177.648926	-156.790573
183.032227	-156.914581
188.415527	-157.191055
193.798828	-156.933548
199.182129	-155.723648
204.565430	-156.919022
209.948730	-156.619476
215.332031	-157.163300
220.715332	-156.867081
226.098633	-155.880142
231.481934	-151.710190
236.865234	-152.286652
242.248535	-156.341797
247.631836	-155.381668
253.015137	-154.966705
258.398438	-156.225403
263.781738	-154.932983
269.165039	-153.607269
274.548340	-156.298019
279.931641	-155.796143
285.314941	-156.568329
290.698242	-155.633331
296.081543	-155.903427
301.464844	-156.018570
306.848145	-155.606171
312.231445	-155.549286
317.614746	-156.090897
322.998047	-155.162811
328.381348	-155.103394
333.764648	-155.491669
339.147949	-154.815536
344.531250	-155.136917
349.914551	-155.147217
355.297852	-154.737640
360.681152	-154.997879
366.064453	-155.111038
371.447754	-153.928116
376.831055	-155.033279
382.214355	-154.327972
387.597656	-154.543869
392.980957	-154.021027
398.364258	-154.305344
403.747559	-154.306183
409.130859	-154.059143
414.514160	-153.435669
419.897461	-149.548126
425.280762	-152.000015
430.664062	-151.897507
436.047363	-151.952866
441.430664	-152.513611
446.813965	-144.910614
452.197266	-143.776825
457.580566	-151.490128
462.963867	-152.989136
468.347168	-152.234940
473.730469	-152.696823
479.113770	-152.638031
484.497070	-151.819214
489.880371	-152.245209
495.263672	-152.541016
500.646973	-152.496704
506.030273	-152.193909
511.413574	-152.059875
516.796875	-152.122238
522.180176	-152.001236
527.563477	-151.838043
532.946777	-152.021530
538.330078	-151.730621
543.713379	-151.252106
549.096680	-151.463104
554.479980	-151.294296
559.863281	-151.106720
565.246582	-151.232788
570.629883	-150.890305
576.013184	-150.684219
581.396484	-150.696487
586.779785	-150.716553
592.163086	-150.670242
597.546387	-150.282104
602.929688	-150.368225
608.312988	-149.909409
613.696289	-149.628128
619.079590	-149.941681
624.462891	-149.862854
629.846191	-149.433914
635.229492	-149.837769
640.612793	-149.454391
645.996094	-149.091431
651.379395	-149.308777
656.762695	-148.837158
662.145996	-149.206268
667.529297	-148.815079
672.912598	-148.501266
678.295898	-148.460205
683.679199	-147.439957
689.062500	-148.174835
694.445801	-148.252075
699.829102	-148.111496
705.212402	-147.681396
710.595703	-147.973816
715.979004	-147.441742
721.362305	-147.584625
726.745605	-147.309113
732.128906	-147.127106
737.512207	-146.974808
742.895508	-147.026855
748.278809	-146.812851
753.662109	-146.851471
759.045410	-146.477707
764.428711	-146.223480
769.812012	-146.605789
775.195312	-146.160614
780.578613	-146.056747
785.961914	-145.987350
791.345215	-145.634598
796.728516	-145.609924
802.111816	-145.451828
807.495117	-145.383362
812.878418	-145.140076
818.261719	-145.129196
823.645020	-144.807343
829.028320	-144.716202
834.411621	-144.702682
839.794922	-144.354599
845.178223	-144.215134
850.561523	-144.289062
855.944824	-143.935623
861.328125	-143.812836
866.711426	-143.694397
872.094727	-143.566849
877.478027	-143.305740
882.861328	-142.862045
888.244629	-143.075150
893.627930	-142.712555
899.011230	-141.210449
904.394531	-142.054703
909.777832	-142.431229
915.161133	-142.182724
920.544434	-142.126770
925.927734	-141.912674
931.311035	-141.840393
936.694336	-141.691681
942.077637	-141.374664
947.460938	-141.326492
952.844238	-140.859146
958.227539	-140.757721
963.610840	-140.820114
968.994141	-140.628738
974.377441	-140.396576
979.760742	-140.226883
985.144043	-140.067520
990.527344	-139.871796
995.910645	-139.709473
1001.293945	-139.516296
