Frequency (Hz)	Level (dB)
5.383301	-137.872253
10.766602	-137.813278
16.149902	-137.939438
21.533203	-137.781616
26.916504	-137.825684
32.299805	-137.766235
37.683105	-137.618927
43.066406	-133.879089
48.449707	-125.863022
53.833008	-128.082260
59.216309	-137.133102
64.599609	-137.397888
69.982910	-137.267624
75.366211	-137.226776
80.749512	-137.076019
86.132812	-137.035339
91.516113	-136.958023
96.899414	-136.750031
102.282715	-136.660645
107.666016	-136.596344
113.049316	-136.382355
118.432617	-136.360489
123.815918	-136.197021
129.199219	-136.005020
134.582520	-135.965027
139.965820	-135.728180
145.349121	-135.576706
150.732422	-135.496231
156.115723	-135.305908
161.499023	-135.105850
166.882324	-134.982697
172.265625	-134.792587
177.648926	-134.579941
183.032227	-134.405411
188.415527	-134.498642
193.798828	-133.406021
199.182129	-133.372284
204.565430	-133.665787
209.948730	-133.519440
215.332031	-133.349197
220.715332	-133.078644
226.098633	-132.953979
231.481934	-132.721558
236.865234	-132.498459
242.248535	-132.308136
247.631836	-132.077148
253.015137	-131.858063
258.398438	-131.664215
263.781738	-131.448975
269.165039	-131.213318
274.548340	-130.951019
279.931641	-130.794464
285.314941	-130.545090
290.698242	-130.309647
296.081543	-130.077057
301.464844	-129.819366
306.848145	-129.593811
312.231445	-129.346054
317.614746	-129.124680
322.998047	-128.844391
328.381348	-128.602539
333.764648	-128.343246
339.147949	-128.104889
344.531250	-127.853050
349.914551	-127.548264
355.297852	-127.321083
360.681152	-127.098145
366.064453	-126.753281
371.447754	-126.505898
376.831055	-126.215599
382.214355	-125.956238
387.597656	-125.649498
392.980957	-125.383148
398.364258	-125.079124
403.747559	-124.781235
409.130859	-124.506454
414.514160	-124.193153
419.897461	-123.883522
425.280762	-123.582542
430.664062	-123.274994
436.047363	-122.956398
441.430664	-122.636887
446.813965	-122.310692
452.197266	-121.988373
457.580566	-121.663300
462.963867	-121.328247
468.347168	-120.974800
473.730469	-120.656563
479.113770	-120.283577
484.497070	-119.943657
489.880371	-119.591377
495.263672	-119.218948
500.646973	-118.829613
506.030273	-118.490219
511.413574	-118.092873
516.796875	-117.715096
522.180176	-117.328888
527.563477	-116.926689
532.946777	-116.550873
538.330078	-116.134232
543.713379	-115.700287
549.096680	-115.287239
554.479980	-114.856300
559.863281	-114.416679
565.246582	-113.976524
570.629883	-113.525772
576.013184	-113.071907
581.396484	-112.600479
586.779785	-112.125267
592.163086	-111.642456
597.546387	-111.148819
602.929688	-110.647736
608.312988	-110.132843
613.696289	-109.611099
619.079590	-109.076485
624.462891	-108.533806
629.846191	-107.979774
635.229492	-107.411469
640.612793	-106.830154
645.996094	-106.236633
651.379395	-105.628487
656.762695	-105.007690
662.145996	-104.370529
667.529297	-103.715469
672.912598	-103.047417
678.295898	-102.358673
683.679199	-101.652840
689.062500	-100.927773
694.445801	-100.181175
699.829102	-99.412491
705.212402	-98.625839
710.595703	-97.805611
715.979004	-96.961624
721.362305	-96.089951
726.745605	-95.188995
732.128906	-94.256302
737.512207	-93.286957
742.895508	-92.282722
748.278809	-91.237083
753.662109	-90.147476
759.045410	-89.010185
764.428711	-87.821754
769.812012	-86.576141
775.195312	-85.267830
780.578613	-83.890694
785.961914	-82.436241
791.345215	-80.895256
796.728516	-79.258339
802.111816	-77.511116
807.495117	-75.637589
812.878418	-73.618530
818.261719	-71.429047
823.645020	-69.037704
829.028320	-66.402962
834.411621	-63.469223
839.794922	-60.158924
845.178223	-56.359428
850.561523	-51.897243
855.944824	-46.483219
861.328125	-39.573643
866.711426	-29.906681
872.094727	-12.514223
877.478027	0.815562
882.861328	0.450650
888.244629	-14.193401
893.627930	-30.643990
899.011230	-40.066177
904.394531	-46.854954
909.777832	-52.195446
915.161133	-56.607632
920.544434	-60.370682
925.927734	-63.653015
931.311035	-66.564575
936.694336	-69.181213
942.077637	-71.557396
947.460938	-73.733963
952.844238	-75.741844
958.227539	-77.605507
963.610840	-79.343590
968.994141	-80.973877
974.377441	-82.507240
979.760742	-83.955193
985.144043	-85.326485
990.527344	-86.629272
995.910645	-87.869827
1001.293945	-89.053635
1006.677246	-90.186363
1012.060547	-91.271637
1017.443848	-92.313286
1022.827148	-93.314110
1028.210449	-94.279587
1033.593750	-95.209167
1038.977051	-96.106827
1044.360352	-96.975327
1049.743652	-97.819206
1055.126953	-98.629868
1060.510254	-99.417404
1065.893555	-100.182549
1071.276855	-100.927017
1076.660156	-101.649261
1082.043457	-102.353180
1087.426758	-103.039185
1092.810059	-103.706284
1098.193359	-104.357330
1103.576660	-104.991943
1108.959961	-105.610764
1114.343262	-106.217445
1119.726562	-106.808273
1125.109863	-107.387650
1130.493164	-107.952667
1135.876465	-108.500389
1141.259766	-109.050827
1146.643066	-109.580032
1152.026367	-110.100105
1157.409668	-110.611443
1162.792969	-111.110786
1168.176270	-111.603371
1173.559570	-112.082283
1178.942871	-112.559479
1184.326172	-113.021744
1189.709473	-113.483932
1195.092773	-113.928398
1200.476074	-114.365471
1205.859375	-114.805244
1211.242676	-115.235092
1216.625977	-115.644836
1222.009277	-116.076736
1227.392578	-116.484367
1232.775879	-116.866394
1238.159180	-117.270149
1243.542480	-117.649803
1248.925781	-118.031532
1254.309082	-118.426262
1259.692383	-118.777985
1265.075684	-119.146614
1270.458984	-119.517525
1275.842285	-119.875290
1281.225586	-120.206207
1286.608887	-120.581047
1291.992188	-120.900307
1297.375488	-121.251320
1302.758789	-121.579994
1308.142090	-121.897842
1313.525391	-122.246269
1318.908691	-122.560005
1324.291992	-122.872643
1329.675293	-123.191612
1335.058594	-123.500298
1340.441895	-123.796577
1345.825195	-124.107880
1351.208496	-124.416954
1356.591797	-124.696701
1361.975098	-124.980202
1367.358398	-125.297066
1372.741699	-125.552361
1378.125000	-125.860825
1383.508301	-126.130402
1388.891602	-126.419022
1394.274902	-126.704842
1399.658203	-126.978371
1405.041504	-127.232506
1410.424805	-127.459145
1415.808105	-127.769379
1421.191406	-128.015213
1426.574707	-128.278702
1431.958008	-128.500565
1437.341309	-128.798874
1442.724609	-129.013962
1448.107910	-129.268921
1453.491211	-129.533142
1458.874512	-129.742447
1464.257812	-130.005463
1469.641113	-130.242493
1475.024414	-130.464264
1480.407715	-130.698212
1485.791016	-130.930145
1491.174316	-131.149002
1496.557617	-131.409195
1501.940918	-131.640182
1507.324219	-131.838959
1512.707520	-132.070633
1518.090820	-132.300720
1523.474121	-132.486465
1528.857422	-132.727249
1534.240723	-132.967255
1539.624023	-133.097916
1545.007324	-133.401093
1550.390625	-133.567520
1555.773926	-133.721573
1561.157227	-133.239166
1566.540527	-133.778564
1571.923828	-134.206299
1577.307129	-134.611023
1582.690430	-134.756805
1588.073730	-134.970963
1593.457031	-135.209793
1598.840332	-135.351501
1604.223633	-135.534683
1609.606934	-135.762390
1614.990234	-135.928009
1620.373535	-136.076309
1625.756836	-136.358673
1631.140137	-136.452820
1636.523438	-136.691986
1641.906738	-136.833282
1647.290039	-136.973694
1652.673340	-137.210464
1658.056641	-137.372192
1663.439941	-137.503204
1668.823242	-137.766968
1674.206543	-137.863235
1679.589844	-138.070053
1684.973145	-138.232208
1690.356445	-138.352676
1695.739746	-138.543640
1701.123047	-138.119873
1706.506348	-129.357544
1711.889648	-127.785622
1717.272949	-136.275925
1722.656250	-139.178482
1728.039551	-139.475464
1733.422852	-139.657898
1738.806152	-139.829071
1744.189453	-139.986862
1749.572754	-139.986298
1754.956055	-140.248703
1760.339355	-140.321991
1765.722656	-140.388000
1771.105957	-140.535324
1776.489258	-140.784851
1781.872559	-140.774185
1787.255859	-140.958557
1792.639160	-141.082870
