Frequency (Hz)	Level (dB)
5.383301	-97.881615
10.766602	-95.229980
16.149902	-91.543404
21.533203	-86.988762
26.916504	-81.365120
32.299805	-74.085320
37.683105	-63.632977
43.066406	-42.471027
48.449707	-32.337624
53.833008	-34.808334
59.216309	-54.270863
64.599609	-68.609573
69.982910	-77.398643
75.366211	-83.863297
80.749512	-89.002609
86.132812	-93.276131
91.516113	-96.936394
96.899414	-100.138519
102.282715	-102.986206
107.666016	-105.547569
113.049316	-107.876289
118.432617	-110.011360
123.815918	-111.981163
129.199219	-113.804794
134.582520	-115.465050
139.965820	-115.845535
145.349121	-95.358406
150.732422	-91.074745
156.115723	-98.913620
161.499023	-121.074730
166.882324	-123.689888
172.265625	-124.983078
177.648926	-126.121483
183.032227	-127.190109
188.415527	-128.206802
193.798828	-129.165161
199.182129	-130.106705
204.565430	-131.032364
209.948730	-131.913773
215.332031	-132.744431
220.715332	-133.565063
226.098633	-134.338562
231.481934	-135.133301
236.865234	-135.906464
242.248535	-136.574432
247.631836	-137.089127
253.015137	-137.804688
258.398438	-138.566864
263.781738	-139.224655
269.165039	-139.855515
274.548340	-140.444260
279.931641	-141.072220
285.314941	-141.609192
290.698242	-142.154114
296.081543	-142.661179
301.464844	-143.216629
306.848145	-143.767059
312.231445	-144.237930
317.614746	-144.591263
322.998047	-145.242065
328.381348	-145.688354
333.764648	-146.045303
339.147949	-146.494156
344.531250	-146.974747
349.914551	-147.288742
355.297852	-147.697433
360.681152	-148.100876
366.064453	-148.403168
371.447754	-148.679642
376.831055	-149.082413
382.214355	-149.423813
387.597656	-149.794037
392.980957	-150.096786
398.364258	-150.195862
403.747559	-150.587585
409.130859	-150.880341
414.514160	-150.673737
419.897461	-151.400146
425.280762	-151.219910
430.664062	-151.977417
436.047363	-151.901489
441.430664	-151.964584
446.813965	-152.400742
452.197266	-152.076843
457.580566	-152.458328
462.963867	-152.505051
468.347168	-152.568024
473.730469	-152.805313
479.113770	-152.597488
484.497070	-152.379639
489.880371	-152.327438
495.263672	-152.636734
500.646973	-153.264420
506.030273	-152.928314
511.413574	-152.920715
516.796875	-153.501404
522.180176	-152.818375
527.563477	-153.051407
532.946777	-153.320923
538.330078	-152.754807
543.713379	-153.087173
549.096680	-153.218658
554.479980	-152.998566
559.863281	-152.804688
565.246582	-153.163712
570.629883	-152.381409
576.013184	-153.179611
581.396484	-152.374191
586.779785	-152.389847
592.163086	-152.527084
597.546387	-152.514389
602.929688	-152.647095
608.312988	-152.350311
613.696289	-152.003159
619.079590	-151.672165
624.462891	-152.131317
629.846191	-151.422073
635.229492	-152.080902
640.612793	-151.836365
645.996094	-152.131210
651.379395	-151.509415
656.762695	-151.839584
662.145996	-151.628418
667.529297	-151.419632
672.912598	-151.172684
678.295898	-151.488770
683.679199	-151.134293
689.062500	-151.142883
694.445801	-150.851517
699.829102	-151.019302
705.212402	-150.462830
710.595703	-150.756775
715.979004	-150.627579
721.362305	-150.534042
726.745605	-150.276047
732.128906	-150.490540
737.512207	-150.058670
742.895508	-149.833725
748.278809	-150.208755
753.662109	-148.476181
759.045410	-148.318695
764.428711	-149.744507
769.812012	-149.487747
775.195312	-149.434479
780.578613	-149.285690
785.961914	-149.259064
791.345215	-149.278839
796.728516	-148.836136
802.111816	-148.793350
807.495117	-148.792755
812.878418	-148.586823
818.261719	-148.524185
823.645020	-148.402832
829.028320	-148.079117
834.411621	-148.364639
839.794922	-148.017776
845.178223	-147.645599
850.561523	-147.919098
855.944824	-147.494064
861.328125	-147.709549
866.711426	-147.397995
872.094727	-147.135025
877.478027	-147.172272
882.861328	-146.842880
888.244629	-147.062729
893.627930	-146.915146
899.011230	-146.677399
904.394531	-146.331467
909.777832	-146.519836
915.161133	-146.164749
920.544434	-146.261307
925.927734	-145.690170
931.311035	-145.911224
936.694336	-145.730392
942.077637	-145.630951
947.460938	-145.479904
952.844238	-145.396683
958.227539	-145.116104
963.610840	-145.326721
968.994141	-144.634659
974.377441	-144.826263
979.760742	-144.653763
985.144043	-144.571030
990.527344	-144.299835
995.910645	-144.270630
1001.293945	-144.103271
1006.677246	-143.960754
1012.060547	-143.835968
1017.443848	-143.703033
1022.827148	-143.457443
1028.210449	-143.381302
1033.593750	-143.330322
1038.977051	-143.059280
1044.360352	-142.953674
1049.743652	-142.837616
1055.126953	-142.591766
1060.510254	-142.582001
1065.893555	-142.406570
1071.276855	-142.187546
1076.660156	-142.001495
1082.043457	-141.920486
1087.426758	-141.771530
1092.810059	-141.618164
1098.193359	-141.332138
1103.576660	-141.442200
1108.959961	-141.111343
1114.343262	-140.917664
1119.726562	-140.827606
1125.109863	-140.797897
1130.493164	-140.424774
1135.876465	-140.508392
1141.259766	-140.182632
1146.643066	-140.072083
1152.026367	-139.839462
1157.409668	-139.629074
1162.792969	-139.549530
1168.176270	-139.391037
1173.559570	-139.173859
1178.942871	-139.022171
1184.326172	-138.834000
1189.709473	-138.636093
1195.092773	-138.509491
1200.476074	-138.309525
1205.859375	-138.092560
1211.242676	-138.012634
1216.625977	-137.733383
1222.009277	-137.542404
1227.392578	-137.458710
1232.775879	-137.192230
1238.159180	-137.021362
1243.542480	-136.884918
